;;Limit;Improvement
Attributes;Dataset;Value;Value
3;Adult;8.0;0.0
4;Adult;13.0;0.0
5;Adult;19.0;0.0
6;Adult;23.0;0.07691259466276636
7;Adult;30.0;0.0
8;Adult;52.0;0.042513636445900636
9;Adult;111.0;0.014646719586427107
3;Cup;13.0;4.3646104996002366E-4
4;Cup;17.0;0.010047271668800498
5;Cup;49.0;0.022508676963409406
6;Cup;83.0;0.023805966390775674
7;Cup;474.0;--
8;Cup;632.0;--
3;Fars;34.0;0.06698929312486526
4;Fars;43.0;0.004429160668654457
5;Fars;57.0;0.007738396248990847
6;Fars;73.0;0.0
7;Fars;116.0;0.0
8;Fars;265.0;0.002195654995294496
3;Atus;104.0;0.007949937117302049
4;Atus;99.0;0.012099206332828079
5;Atus;110.0;0.01832753836345257
6;Atus;115.0;0.008636912097971879
7;Atus;185.0;0.05456020150721765
8;Atus;254.0;0.010350398571862752
9;Atus;594.0;0.027088025833622232
3;Ihis;216.0;0.0
4;Ihis;237.0;0.0
5;Ihis;325.0;0.02113468270506798
6;Ihis;428.0;0.00684705775815165
7;Ihis;593.0;0.1243598949543514
8;Ihis;1588.0;0.08260583160497877
9;Ihis;3248.0;0.08582254150699993
3;SS13ACS;76.0;0.00781261798116125
4;SS13ACS;81.0;0.003362077708373449
5;SS13ACS;83.0;5.479645505928927E-4
6;SS13ACS;86.0;0.0012152451673167267
7;SS13ACS;96.0;0.0014674831595486053
8;SS13ACS;105.0;0.016496424221061096
9;SS13ACS;155.0;0.006454870120879941
10;SS13ACS;186.0;0.06038402093201982
11;SS13ACS;218.0;0.05363804954942159
12;SS13ACS;259.0;0.04900086748643046
13;SS13ACS;314.0;0.0
14;SS13ACS;393.0;0.0038238946415538426
15;SS13ACS;474.0;0.021543479632622323
