;;;TimeOptimal;TimeHeuristic;Transformations
Attributes;Utility;Privacy;Value;Value;Value
3;Loss;k-anonymity;7.0;5.0;96.0
4;Loss;k-anonymity;18.0;19.0;480.0
5;Loss;k-anonymity;29.0;33.0;1440.0
6;Loss;k-anonymity;58.0;67.0;4320.0
7;Loss;k-anonymity;163.0;223.0;12960.0
8;Loss;k-anonymity;381.0;533.0;38880.0
9;Loss;k-anonymity;4418.0;4133.0;116640.0
10;Loss;k-anonymity;20122.0;21691.0;466560.0
11;Loss;k-anonymity;53734.0;61241.0;1399680.0
12;Loss;k-anonymity;151291.0;185517.0;4199040.0
13;Loss;k-anonymity;525174.0;858414.0;1.259712E7
14;Loss;k-anonymity;1540019.0;2248379.0;3.779136E7
15;Loss;k-anonymity;0.0;6843336.0;1.1337408E8
